"","ps_id","const230_h","c230_id_h","fid0725","npp2008ps_pres_p","ndc2008ps_pres_p","totalvotes2008ps_pres","akan_p","akan_p_poly","ewe_p_poly","moledagbon_p_poly","gadangbe_p_poly","guan_p_poly","gurma_p_poly","mande_p_poly","other_eth_p_poly","grusi_p_poly","otherethn_p_poly","english_percent","public_semipublic_p","dev_factor2","akan_30km_l_p","ewe_30km_l_p","akan_30km_lalt_p","akan_20km_l_p","ewe_20km_l_p","akan_40km_l_p","ewe_40km_l_p","h_30rad_e","ethfrac_30km_l","ethfrac_poly","area_sqkm","sex_total"
"1495",11495,"TECHIMAN SOUTH",223,9586,0.2903226,0.6258065,155,0.6186739,0.5024331,0.0012165,0.3090024,0.0024331,0.0072993,0,0,0.0121655,0.1654501,0.184914841849148,0.3067227,0.0226131,-0.0501916,0.6700674,0.0120987,0.6729628,0.6778758,0.0121747,0.6676196,0.0132114,0.0302398,0.5026606,0.624496,61.3185,884
"1496",11496,"TECHIMAN SOUTH",223,9924,0.2081633,0.755102,245,0.6186739,0.4869186,0.0247093,0.3241279,0.0014535,0.0014535,0.0014535,0.0116279,0.1337209,0.0145349,0.162790697674419,0.3837209,0.0098814,-0.4825754,0.6435386,0.0194859,0.6496751,0.6304728,0.0188517,0.6605186,0.0206846,0.0283973,0.5299097,0.6390067,21.12723,714
"1497",11497,"TECHIMAN SOUTH",223,9601,NA,NA,NA,0.6186739,0.8122066,0.0011737,0.0809859,0,0.0011737,0.0011737,0.0105634,0.0046948,0.0880282,0.105633802816901,0.4503171,0.0419753,0.9892589,0.6811342,0.0126218,0.6762151,0.6940746,0.0123628,0.6754556,0.0137144,0.0304804,0.4920539,0.325875,0.296842,853
"1498",11498,"TECHIMAN SOUTH",223,714,0.4792332,0.4696486,313,0.6186739,0.775992,0.0080362,0.1180311,0.0145655,0.0070316,0.0010045,0.0005023,0.0487192,0.0261175,0.083375188347564,0.5004143,0.0303318,1.943831,0.6852807,0.013907,0.6797693,0.6840401,0.013734,0.67298,0.0149599,0.0243631,0.4901485,0.380522,0.457189,2110
"1499",11499,"TECHIMAN SOUTH",223,9586,NA,NA,NA,0.6186739,0.5024331,0.0012165,0.3090024,0.0024331,0.0072993,0,0,0.0121655,0.1654501,0.184914841849148,0.3067227,0.0226131,-0.0501916,0.6700674,0.0120987,0.6729628,0.6778758,0.0121747,0.6676196,0.0132114,0.0302398,0.5026606,0.624496,61.3185,884
"1500",11500,"TECHIMAN SOUTH",223,10251,NA,NA,NA,0.6186739,0.3062201,0.0239234,0.4533493,0.0047847,0.0155502,0.0035885,0.0430622,0.1220096,0.027512,0.211722488038278,0.3724395,0.0019763,-0.2640238,0.6263267,0.0177922,0.6404998,0.6100006,0.0151231,0.6458846,0.0195314,0.0253986,0.5438464,0.6823562,15.79578,930
"1501",11501,"TECHIMAN SOUTH",223,704,0.5897436,0.3787879,858,0.6186739,0.6909225,0.0183476,0.1538403,0.0099666,0.0317874,0.0065123,0.0210091,0.014478,0.0531363,0.126923004322631,0.6177239,0.0767263,4.927363,0.6834328,0.0173695,0.6789809,0.6836873,0.0175241,0.6816272,0.0173835,0.0269498,0.5004137,0.493996,25.31661,56187
"1502",11502,"TECHIMAN SOUTH",223,704,0.5248796,0.4462279,623,0.6186739,0.6909225,0.0183476,0.1538403,0.0099666,0.0317874,0.0065123,0.0210091,0.014478,0.0531363,0.126923004322631,0.6177239,0.0767263,4.927363,0.6834328,0.0173695,0.6789809,0.6836873,0.0175241,0.6816272,0.0173835,0.0269498,0.5004137,0.493996,25.31661,56187
"1503",11503,"TECHIMAN SOUTH",223,9925,NA,NA,NA,0.6186739,0.6796537,0.008658,0.1677489,0.0124459,0.0054113,0.0178571,0.0211039,0.0622294,0.0248918,0.131493506493506,0.4717949,0.0309598,-0.072506,0.6558222,0.0169258,0.6554425,0.6479408,0.0154688,0.6658311,0.0189358,0.0248543,0.5188128,0.5044157,4.160679,2027
"1504",11504,"TECHIMAN SOUTH",223,10146,0.2222222,0.6825397,63,0.6186739,0.205036,0.0809353,0.5251799,0,0,0.1870504,0,0,0.0017986,0.188848920863309,0.2429577,0.00369,-0.3888517,0.6459515,0.0204872,0.6548687,0.6361197,0.0217938,0.6509861,0.0202682,0.0268064,0.5270171,0.6406048,26.77023,563
"1505",11505,"TECHIMAN SOUTH",223,9922,0.3004808,0.6466346,416,0.6186739,0.7284946,0,0.2056452,0.0026882,0.0013441,0,0.0255376,0.0147849,0.0215054,0.0631720430107527,0.3310658,0.0069284,0.2781954,0.6706952,0.0134971,0.6685091,0.6781269,0.0122869,0.6725254,0.0165731,0.0285858,0.5006147,0.4256634,18.02889,774
"1506",11506,"TECHIMAN SOUTH",223,547,0.5673759,0.3758865,141,0.6186739,0.1360037,0.0130415,0.396367,0.0009315,0.0121099,0.0204937,0.0046577,0.0065207,0.4098742,0.453656264555193,0.2393365,0.0172101,-0.313871,0.5766035,0.0112227,0.6166562,0.5588297,0.0098356,0.5770466,0.0119028,0.0274164,0.5936316,0.6555974,0.531322,2214
"1507",11507,"TECHIMAN SOUTH",223,547,0.3588342,0.5883424,549,0.6186739,0.1360037,0.0130415,0.396367,0.0009315,0.0121099,0.0204937,0.0046577,0.0065207,0.4098742,0.453656264555193,0.2393365,0.0172101,-0.313871,0.5766035,0.0112227,0.6166562,0.5588297,0.0098356,0.5770466,0.0119028,0.0274164,0.5936316,0.6555974,0.531322,2214
